Name,ID,Weight
Marcus Haislip,2409,4
Jim Ray,77919,2
Eduardo Najera,2059,12
Ja Morant,1629630,4
Jason Preston,1630554,1
Vincent Askew,355,9
Semih Erden,201623,2
Randolph Keys,705,5
Brian Skinner,1730,14
Dwight Anderson,76037,1
Axel Toupane,1626253,3
DeMarcus Cousins,202326,11
Sidney Moncrief,77626,11
Jim Rowinski,78029,2
Tom King,77276,1
Derek Smith,78183,9
Forest Weber,78479,1
Shane Heal,1049,2
Bud Koper,77299,1
Jim Lampley,77333,1
Mengke Bateer,2370,3
Cleanthony Early,203921,2
Carl Herrera,61,8
Malik Rose,990,13
Radisav Curcic,76488,1
Uwe Blab,76172,5
Jordan Goodwin,1630692,3
Edward Davis,76522,5
Bryn Forbes,1627854,7
Jevon Carter,1628975,6
Jalen McDaniels,1629667,5
Jermaine Samuels Jr.,1631257,1
Rodney McCray,1622,10
Joe Smyth,78212,1
Joe Dumars,247,14
Robert Hite,200823,1
Sasha Vezenkov,1628426,1
Hank Zeller,78642,1
Irv Torgoff,78357,3
Mark McNamara,77558,8
Mookie Blaylock,302,13
Marcus Cousin,202408,1
Dick Fitzgerald,76719,2
Ahmad Caver,1629958,1
Ralph Kaplowitz,77221,2
Darius Johnson-Odom,203130,2
Orien Greene,101158,4
Kenny Smith,181,10
John Murphy,77671,1
Ricky Wilson,78584,1
Gani Lawal,202371,1
Kirk Penney,2632,2
Robert Churchwell,928,1
Nikola Jokic,203999,9
Darius Morris,202721,4
Larry Nance Jr.,1626204,9
Paul Armstrong,76060,3
Horace Jenkins,2798,1
Jackie Dinkins,76575,1
Mark Baker,1858,1
Johnny Baum,76125,2
Sarunas Marciulionis,36,7
Ron Lee,77364,6
Howie Schultz,78091,3
Mike Gminski,76826,14
George Nostrand,77734,4
Buckshot O'Brien,77743,2
Joe Stephens,1086,3
Mark Williams,1631109,2
Paul Watson,1628778,3
Tom Kron,77313,3
Herbert Hill,201195,0
Elfrid Payton,203901,8
Anthony Bonner,41,6
Winston Bennett,76152,3
Zendon Hamilton,1985,6
Mel Daniels,76502,1
Bobby Jones,200784,2
Danny Ainge,76017,14
Marcelo Huertas,1626273,2
Jason Collins,2215,13
Hollis Copeland,76447,2
Bob Hahn,76914,1
John Mills,77606,1
Chris Smith,203147,1
Jack Kiley,77256,2
Charles Shackleford,1593,6
Bob Warlick,78459,4
Nemanja Nedovic,203517,1
Steve Bucknall,76294,1
Hassani Gravett,1629755,1
